episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
19500,19500,174096,1.510e-08,0.000e+00,0.000e+00,0.000e+00,1.510e-08,0.000e+00,0.000e+00,1.510e-08,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.200e+00,-1.200e+00,0.000e+00,4.900e+00,0.000e+00,1.510e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.273e+01,-9.593e-02,5.00
20000,20000,178747,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,1.023e-07,0.000e+00,0.000e+00,0.000e+00,1.023e-07,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.023e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
20500,20500,183378,1.475e-08,0.000e+00,0.000e+00,0.000e+00,1.475e-08,0.000e+00,0.000e+00,1.475e-08,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.475e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
21000,21000,188071,9.067e-09,0.000e+00,0.000e+00,0.000e+00,9.067e-09,0.000e+00,0.000e+00,9.067e-09,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,9.067e-09,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
21500,21500,192671,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,2.105e-07,0.000e+00,0.000e+00,0.000e+00,2.105e-07,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,2.105e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
22000,22000,197299,4.811e-09,0.000e+00,0.000e+00,0.000e+00,4.811e-09,0.000e+00,0.000e+00,4.811e-09,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,4.811e-09,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
22500,22500,201992,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,9.503e-08,0.000e+00,0.000e+00,0.000e+00,9.503e-08,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,9.503e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
23000,23000,206634,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.890e-08,0.000e+00,0.000e+00,0.000e+00,5.890e-08,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,5.890e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
23500,23500,211300,2.337e-09,0.000e+00,0.000e+00,0.000e+00,2.337e-09,0.000e+00,0.000e+00,2.337e-09,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,2.337e-09,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
24000,24000,215992,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,3.150e-08,0.000e+00,0.000e+00,0.000e+00,3.150e-08,0.000e+00,1.286e+01,-7.778e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,3.150e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
24500,24500,220649,-1.200e+00,-1.200e+00,0.000e+00,4.900e+00,1.854e-08,0.000e+00,0.000e+00,3.975e-10,1.814e-08,0.000e+00,1.273e+01,-9.593e-02,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,1.854e-08,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
25000,25000,225311,8.490e-10,0.000e+00,0.000e+00,0.000e+00,8.490e-10,0.000e+00,0.000e+00,8.490e-10,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.000e+00,-1.000e+00,0.000e+00,5.000e+00,0.000e+00,8.490e-10,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.286e+01,-7.778e-02,5.00
