episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
4300,4300,24725,2.001e+00,1.900e+00,0.000e+00,5.944e+00,2.942e+00,5.944e+00,0.000e+00,0.000e+00,1.000e+02,9.496e+00,1.000e+00,8.000e-01,5.930e+00,3.734e+00,3.927e+00,1.215e-02,1.991e+00,0.000e+00,-3.998e+00,1.500e+00,2.000e-01,1.236e-02,5.210e+00,1.233e-02,1.368e-05,2.454e-05,0.000e+00,1.90
4400,4400,25212,-2.887e+00,2.200e+00,3.000e-01,2.331e+00,4.917e+00,2.331e+00,4.974e-05,6.082e-05,9.000e+01,1.486e+01,1.600e+00,9.000e-01,9.736e+00,1.577e+00,6.385e+00,1.766e-01,3.174e+00,0.000e+00,-6.672e+00,2.500e+00,1.000e-01,1.483e-01,5.720e+00,1.483e-01,3.915e-06,3.120e-05,0.000e+00,2.70
4500,4500,25687,-2.908e+00,2.300e+00,2.000e-01,1.378e+00,4.186e+00,1.378e+00,0.000e+00,7.326e-06,1.000e+02,1.417e+01,1.500e+00,9.000e-01,8.318e+00,1.249e+00,5.955e+00,3.682e-03,2.359e+00,0.000e+00,-4.161e+00,2.300e+00,1.000e-01,4.096e-02,4.302e+00,4.094e-02,6.660e-06,1.295e-05,0.000e+00,2.50
4600,4600,26185,-2.210e+00,2.600e+00,1.000e-01,2.491e+00,3.602e+00,2.491e+00,0.000e+00,6.473e-06,1.000e+02,1.318e+01,1.000e+00,1.400e+00,6.537e+00,2.159e+00,3.945e+00,1.648e-03,2.590e+00,0.000e+00,-4.567e+00,2.100e+00,3.000e-01,1.326e-02,3.280e+00,1.326e-02,1.574e-06,1.639e-06,0.000e+00,2.70
4700,4700,26662,1.059e+00,1.400e+00,1.000e-01,1.750e+00,7.908e-01,1.750e+00,0.000e+00,8.604e-06,1.000e+02,8.649e+00,4.000e-01,9.000e-01,1.600e+00,1.652e+00,1.570e+00,1.937e-04,2.974e-02,0.000e+00,-1.908e+00,1.500e+00,0.000e+00,8.096e-03,9.159e-01,8.096e-03,0.000e+00,0.000e+00,0.000e+00,1.50
4800,4800,27132,-1.092e+00,2.200e+00,2.000e-01,1.937e+00,1.829e+00,1.937e+00,0.000e+00,2.638e-04,9.000e+01,8.915e+00,1.000e+00,1.200e+00,3.775e+00,1.661e+00,3.750e+00,1.102e-04,2.515e-02,0.000e+00,-2.523e+00,1.800e+00,4.000e-01,2.001e-02,2.243e+00,1.995e-02,2.534e-05,3.621e-05,0.000e+00,2.40
4900,4900,27610,2.213e+00,2.000e+00,2.000e-01,4.455e+00,3.342e+00,4.454e+00,0.000e+00,9.543e-04,1.000e+02,1.084e+01,1.400e+00,8.000e-01,6.607e+00,3.066e+00,5.596e+00,0.000e+00,1.011e+00,0.000e+00,-5.654e+00,2.200e+00,0.000e+00,8.401e-02,4.738e+00,8.401e-02,0.000e+00,0.000e+00,0.000e+00,2.20
5000,5000,28111,1.746e+00,1.700e+00,0.000e+00,5.452e+00,2.706e+00,5.452e+00,0.000e+00,0.000e+00,1.000e+02,7.021e+00,1.000e+00,7.000e-01,4.067e+00,3.346e+00,3.961e+00,0.000e+00,1.065e-01,0.000e+00,-1.266e+00,1.200e+00,3.000e-01,6.374e-01,4.104e+00,6.003e-01,1.330e-03,3.581e-02,0.000e+00,1.70
5100,5100,28595,1.746e+00,2.400e+00,0.000e+00,7.762e+00,5.016e+00,7.762e+00,0.000e+00,0.000e+00,1.000e+02,8.229e+00,1.200e+00,1.100e+00,4.816e+00,4.786e+00,4.771e+00,3.620e-04,4.400e-02,0.000e+00,-2.775e+00,2.000e+00,2.000e-01,2.600e+00,5.375e+00,2.599e+00,2.675e-06,1.210e-03,0.000e+00,2.40
5200,5200,29062,7.035e-01,1.700e+00,2.000e-01,5.338e+00,3.134e+00,5.189e+00,1.445e-01,3.554e-03,1.000e+02,6.439e+00,9.000e-01,1.100e+00,3.487e+00,2.948e+00,3.467e+00,0.000e+00,2.009e-02,0.000e+00,-9.427e-01,1.200e+00,6.000e-01,1.455e+00,4.197e+00,1.436e+00,3.732e-03,1.493e-02,0.000e+00,2.00
5300,5300,29585,3.317e+00,1.800e+00,3.000e-01,7.255e+00,4.938e+00,7.079e+00,0.000e+00,1.765e-01,1.000e+02,7.272e+00,1.100e+00,1.000e+00,4.778e+00,3.506e+00,3.816e+00,0.000e+00,9.615e-01,0.000e+00,-3.889e+00,1.600e+00,3.000e-01,2.926e+00,6.515e+00,2.853e+00,1.053e-02,6.237e-02,0.000e+00,2.10
5400,5400,30100,1.123e-01,2.000e+00,1.000e-01,6.308e+00,4.996e+00,6.308e+00,0.000e+00,1.878e-06,1.000e+02,5.932e+00,1.400e+00,7.000e-01,5.598e+00,3.366e+00,5.318e+00,0.000e+00,2.801e-01,0.000e+00,9.556e-01,1.300e+00,5.000e-01,2.810e+00,6.354e+00,2.786e+00,1.641e-02,7.220e-03,0.000e+00,2.10
5500,5500,30595,-5.858e+00,2.400e+00,4.000e-01,8.861e-01,5.344e+00,8.861e-01,0.000e+00,5.935e-06,1.000e+02,6.740e+00,1.300e+00,1.100e+00,4.859e+00,3.619e+00,4.693e+00,2.979e-03,1.626e-01,0.000e+00,4.518e+00,1.900e+00,8.000e-01,5.947e+00,2.729e+00,5.920e+00,9.561e-03,1.801e-02,0.000e+00,2.80
5600,5600,31095,-4.386e+00,1.800e+00,0.000e+00,4.867e-01,3.873e+00,4.867e-01,6.874e-06,0.000e+00,1.000e+02,6.694e+00,9.000e-01,9.000e-01,3.946e+00,2.052e+00,3.595e+00,1.783e-05,3.517e-01,0.000e+00,4.492e+00,1.000e+00,9.000e-01,3.346e+00,1.854e+00,3.338e+00,0.000e+00,8.314e-03,0.000e+00,1.90
5700,5700,31601,-5.509e+00,3.200e+00,1.000e-01,7.194e-01,5.128e+00,7.194e-01,0.000e+00,8.138e-08,7.000e+01,3.534e+00,1.400e+00,1.900e+00,4.892e+00,3.858e+00,4.885e+00,0.000e+00,7.581e-03,0.000e+00,4.775e+00,1.500e+00,1.500e+00,5.858e+00,2.483e+00,5.353e+00,2.943e-01,2.112e-01,0.000e+00,3.30
5800,5800,32102,-3.762e+00,2.300e+00,0.000e+00,1.496e-01,2.911e+00,1.496e-01,0.000e+00,0.000e+00,9.000e+01,4.454e+00,7.000e-01,1.200e+00,1.794e+00,2.139e+00,1.792e+00,1.528e-04,1.463e-03,0.000e+00,4.507e+00,1.200e+00,1.000e+00,4.010e+00,9.025e-01,3.997e+00,1.311e-04,1.210e-02,0.000e+00,2.30
5900,5900,32599,-4.720e+00,1.500e+00,1.000e-01,2.272e-01,3.847e+00,2.272e-01,0.000e+00,5.034e-08,1.000e+02,4.926e+00,9.000e-01,6.000e-01,3.246e+00,2.320e+00,3.188e+00,2.245e-03,5.585e-02,0.000e+00,7.094e+00,1.100e+00,5.000e-01,4.399e+00,1.706e+00,4.398e+00,0.000e+00,1.293e-03,0.000e+00,1.60
6000,6000,33061,-2.942e+00,2.200e+00,1.000e-01,3.737e-01,3.416e+00,3.737e-01,0.000e+00,5.535e-06,9.000e+01,4.035e+00,1.200e+00,1.000e+00,4.041e+00,1.406e+00,4.037e+00,3.126e-06,4.090e-03,0.000e+00,4.307e+00,1.100e+00,1.200e+00,2.667e+00,2.260e+00,2.666e+00,0.000e+00,5.408e-04,0.000e+00,2.30
6100,6100,33551,-5.368e+00,1.700e+00,0.000e+00,5.088e-01,4.877e+00,5.088e-01,0.000e+00,0.000e+00,1.000e+02,6.961e+00,1.200e+00,5.000e-01,5.220e+00,2.460e+00,4.786e+00,0.000e+00,4.345e-01,0.000e+00,6.007e+00,1.200e+00,5.000e-01,4.805e+00,3.198e+00,4.798e+00,0.000e+00,7.150e-03,0.000e+00,1.70
6200,6200,34021,-3.069e+00,1.700e+00,3.000e-01,3.048e-01,3.274e+00,3.048e-01,0.000e+00,1.122e-05,9.000e+01,4.008e+00,1.000e+00,7.000e-01,3.802e+00,1.494e+00,3.556e+00,1.692e-03,2.439e-01,0.000e+00,4.561e+00,9.000e-01,1.000e+00,2.857e+00,2.195e+00,2.813e+00,1.535e-06,4.406e-02,0.000e+00,2.00
6300,6300,34520,-5.191e+00,1.600e+00,1.000e-01,5.959e-01,4.687e+00,5.959e-01,0.000e+00,1.466e-05,1.000e+02,6.819e+00,1.300e+00,4.000e-01,5.864e+00,2.045e+00,5.192e+00,0.000e+00,6.715e-01,0.000e+00,5.773e+00,9.000e-01,7.000e-01,3.463e+00,3.191e+00,3.463e+00,2.681e-04,2.635e-05,0.000e+00,1.70
6400,6400,35053,-7.823e+00,2.200e+00,1.000e-01,5.502e-02,6.778e+00,5.502e-02,0.000e+00,1.302e-06,1.000e+02,8.475e+00,1.700e+00,5.000e-01,7.561e+00,2.986e+00,6.782e+00,1.596e-02,7.631e-01,0.000e+00,6.349e+00,1.500e+00,7.000e-01,5.955e+00,3.806e+00,5.954e+00,8.753e-04,3.886e-05,0.000e+00,2.30
