episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
4200,4200,25157,8.166e+00,0.000e+00,1.600e+00,8.046e-03,1.542e+00,0.000e+00,0.000e+00,8.046e-03,1.000e+02,1.323e+00,1.000e+00,4.000e-01,2.725e+00,2.076e-03,2.722e+00,2.759e-03,6.948e-05,0.000e+00,-2.189e+00,1.600e+00,0.000e+00,1.952e-01,1.385e+00,1.952e-01,0.000e+00,0.000e+00,0.000e+00,1.60
4300,4300,25530,7.487e+00,1.000e-01,9.000e-01,4.096e-01,1.823e+00,3.830e-01,1.559e-02,1.095e-02,1.000e+02,3.154e+00,9.000e-01,1.000e-01,3.261e+00,2.069e-01,3.260e+00,1.457e-03,1.182e-04,0.000e+00,-2.641e+00,1.100e+00,0.000e+00,1.784e-01,1.819e+00,1.784e-01,0.000e+00,0.000e+00,0.000e+00,1.10
4400,4400,25893,8.415e+00,1.000e-01,1.500e+00,4.001e-01,1.485e+00,1.884e-01,0.000e+00,2.117e-01,1.000e+02,1.248e+00,1.200e+00,4.000e-01,2.938e+00,8.940e-02,2.936e+00,0.000e+00,2.006e-03,0.000e+00,-2.863e+00,1.500e+00,1.000e-01,1.223e-01,1.885e+00,1.223e-01,0.000e+00,2.785e-05,0.000e+00,1.60
4500,4500,26214,8.974e+00,2.000e-01,1.800e+00,1.238e+00,1.665e+00,6.601e-01,0.000e+00,5.782e-01,1.000e+02,9.483e-01,1.300e+00,6.000e-01,3.094e+00,5.456e-01,3.090e+00,1.013e-03,2.976e-03,0.000e+00,-3.322e+00,1.900e+00,1.000e-01,1.363e-01,2.258e+00,1.363e-01,0.000e+00,7.385e-07,0.000e+00,2.00
4600,4600,26541,8.429e+00,0.000e+00,1.700e+00,1.566e-03,1.073e+00,0.000e+00,0.000e+00,1.566e-03,1.000e+02,-9.249e-02,1.200e+00,3.000e-01,1.210e+00,2.201e-03,1.209e+00,4.719e-04,3.799e-05,0.000e+00,-1.536e+00,1.500e+00,1.000e-01,4.253e-02,1.790e-01,4.253e-02,3.593e-07,6.961e-07,0.000e+00,1.70
4700,4700,26870,8.247e+00,0.000e+00,1.300e+00,1.041e-03,1.554e+00,0.000e+00,0.000e+00,1.041e-03,1.000e+02,3.274e-01,1.000e+00,2.000e-01,1.529e+00,1.105e-03,1.528e+00,3.321e-06,1.358e-05,0.000e+00,-1.074e+00,1.200e+00,1.000e-01,5.977e-02,3.391e-02,5.977e-02,0.000e+00,4.631e-07,0.000e+00,1.30
4800,4800,27185,7.929e+00,0.000e+00,1.000e+00,1.244e-03,2.073e+00,0.000e+00,9.623e-04,2.821e-04,1.000e+02,1.004e+00,1.100e+00,0.000e+00,2.006e+00,1.740e-03,2.006e+00,0.000e+00,0.000e+00,0.000e+00,-9.330e-01,1.100e+00,0.000e+00,7.235e-02,5.304e-03,7.235e-02,0.000e+00,0.000e+00,0.000e+00,1.10
4900,4900,27492,8.367e+00,0.000e+00,1.300e+00,3.559e-04,1.333e+00,0.000e+00,2.645e-04,9.139e-05,1.000e+02,1.999e-01,1.100e+00,1.000e-01,1.301e+00,7.062e-04,1.300e+00,1.136e-04,2.605e-06,0.000e+00,-9.671e-01,1.400e+00,0.000e+00,3.398e-02,1.120e-03,3.398e-02,0.000e+00,0.000e+00,0.000e+00,1.40
5000,5000,27784,8.185e+00,0.000e+00,1.600e+00,3.257e-04,1.515e+00,0.000e+00,2.362e-04,8.955e-05,1.000e+02,4.623e-02,1.100e+00,4.000e-01,1.447e+00,6.246e-04,1.447e+00,3.456e-07,1.780e-05,0.000e+00,-1.031e+00,1.500e+00,2.000e-01,6.967e-02,1.153e-03,6.967e-02,0.000e+00,2.215e-07,0.000e+00,1.70
5100,5100,28128,8.491e+00,0.000e+00,1.100e+00,3.628e-05,1.409e+00,0.000e+00,0.000e+00,3.628e-05,1.000e+02,2.764e-01,1.000e+00,1.000e-01,1.376e+00,1.324e-04,1.376e+00,0.000e+00,2.806e-06,0.000e+00,-9.673e-01,1.100e+00,0.000e+00,3.401e-02,1.329e-03,3.401e-02,0.000e+00,0.000e+00,0.000e+00,1.10
5200,5200,28426,8.408e+00,0.000e+00,1.300e+00,3.579e-05,1.392e+00,0.000e+00,0.000e+00,3.579e-05,1.000e+02,1.560e-01,1.100e+00,2.000e-01,1.356e+00,1.309e-04,1.356e+00,0.000e+00,7.207e-06,0.000e+00,-1.164e+00,1.200e+00,0.000e+00,3.964e-02,4.014e-03,3.964e-02,4.667e-08,0.000e+00,0.000e+00,1.30
5300,5300,28740,8.825e+00,0.000e+00,1.200e+00,3.518e-05,9.752e-01,0.000e+00,0.000e+00,3.518e-05,1.000e+02,-1.498e-01,1.000e+00,1.000e-01,9.503e-01,1.622e-04,9.503e-01,3.747e-05,1.570e-06,0.000e+00,-9.750e-01,1.200e+00,0.000e+00,2.567e-02,7.044e-04,2.567e-02,0.000e+00,0.000e+00,0.000e+00,1.20
5400,5400,29032,9.811e+00,0.000e+00,1.100e+00,1.417e-05,8.927e-02,0.000e+00,0.000e+00,1.417e-05,1.000e+02,-9.127e-01,1.000e+00,0.000e+00,8.738e-02,8.419e-05,8.738e-02,7.995e-07,0.000e+00,0.000e+00,-9.980e-01,1.100e+00,0.000e+00,2.338e-03,3.731e-04,2.338e-03,0.000e+00,0.000e+00,0.000e+00,1.10
5500,5500,29344,9.766e+00,0.000e+00,1.200e+00,5.923e-05,3.392e-02,0.000e+00,4.051e-05,1.873e-05,1.000e+02,-1.267e+00,1.000e+00,2.000e-01,3.304e-02,2.148e-04,3.304e-02,3.788e-09,1.820e-08,0.000e+00,-9.990e-01,1.300e+00,0.000e+00,1.259e-03,2.290e-04,1.259e-03,0.000e+00,0.000e+00,0.000e+00,1.30
5600,5600,29628,9.686e+00,0.000e+00,1.600e+00,1.257e-05,1.429e-02,0.000e+00,0.000e+00,1.257e-05,1.000e+02,-1.385e+00,1.200e+00,3.000e-01,1.461e-02,5.446e-05,1.461e-02,0.000e+00,8.447e-09,0.000e+00,-1.400e+00,1.300e+00,2.000e-01,6.224e-04,8.980e-04,6.221e-04,8.428e-09,2.393e-07,0.000e+00,1.60
5700,5700,29937,9.885e+00,0.000e+00,1.100e+00,9.931e-06,1.481e-02,0.000e+00,0.000e+00,9.931e-06,1.000e+02,-9.854e-01,1.100e+00,0.000e+00,1.460e-02,4.490e-05,1.460e-02,0.000e+00,0.000e+00,0.000e+00,-1.100e+00,1.000e+00,1.000e-01,6.755e-04,4.310e-04,6.754e-04,0.000e+00,1.327e-07,0.000e+00,1.10
5800,5800,30222,9.886e+00,0.000e+00,1.100e+00,7.701e-06,1.366e-02,0.000e+00,0.000e+00,7.701e-06,1.000e+02,-9.863e-01,1.100e+00,0.000e+00,1.374e-02,4.178e-05,1.374e-02,0.000e+00,0.000e+00,0.000e+00,-1.000e+00,1.000e+00,0.000e+00,6.430e-04,6.867e-04,6.430e-04,5.298e-08,0.000e+00,0.000e+00,1.10
5900,5900,30531,9.789e+00,0.000e+00,1.200e+00,5.981e-06,1.060e-02,0.000e+00,0.000e+00,5.981e-06,1.000e+02,-1.190e+00,1.000e+00,2.000e-01,1.020e-02,3.598e-05,1.020e-02,0.000e+00,0.000e+00,0.000e+00,-9.996e-01,1.200e+00,0.000e+00,5.217e-04,9.568e-05,5.217e-04,0.000e+00,0.000e+00,0.000e+00,1.20
6000,6000,30833,9.890e+00,0.000e+00,1.200e+00,6.256e-06,9.677e-03,0.000e+00,0.000e+00,6.256e-06,1.000e+02,-9.903e-01,1.200e+00,0.000e+00,9.739e-03,2.882e-05,9.739e-03,0.000e+00,0.000e+00,0.000e+00,-1.100e+00,1.000e+00,2.000e-01,5.018e-04,5.418e-04,5.016e-04,0.000e+00,1.204e-07,0.000e+00,1.20
6100,6100,31124,9.791e+00,0.000e+00,1.300e+00,2.857e-05,9.003e-03,0.000e+00,1.706e-05,1.151e-05,1.000e+02,-1.191e+00,1.100e+00,2.000e-01,8.698e-03,1.279e-04,8.697e-03,1.028e-07,6.342e-08,0.000e+00,-9.996e-01,1.400e+00,0.000e+00,5.579e-04,1.531e-04,5.579e-04,0.000e+00,0.000e+00,0.000e+00,1.40
6200,6200,31420,9.793e+00,0.000e+00,1.200e+00,4.889e-06,6.608e-03,0.000e+00,0.000e+00,4.889e-06,1.000e+02,-9.933e-01,1.100e+00,0.000e+00,6.715e-03,4.061e-05,6.715e-03,8.813e-08,0.000e+00,0.000e+00,-1.000e+00,1.100e+00,0.000e+00,3.937e-04,4.647e-04,3.937e-04,3.587e-08,0.000e+00,0.000e+00,1.20
6300,6300,31742,9.695e+00,0.000e+00,1.300e+00,6.239e-06,4.710e-03,0.000e+00,0.000e+00,6.239e-06,1.000e+02,-1.196e+00,1.000e+00,2.000e-01,4.509e-03,4.730e-05,4.509e-03,7.578e-08,0.000e+00,0.000e+00,-9.998e-01,1.300e+00,0.000e+00,3.142e-04,7.284e-05,3.142e-04,0.000e+00,0.000e+00,0.000e+00,1.30
6400,6400,32056,9.894e+00,0.000e+00,1.100e+00,3.874e-06,5.906e-03,0.000e+00,0.000e+00,3.874e-06,1.000e+02,-1.094e+00,1.000e+00,1.000e-01,5.641e-03,2.534e-05,5.641e-03,0.000e+00,0.000e+00,0.000e+00,-9.997e-01,1.100e+00,0.000e+00,3.671e-04,8.005e-05,3.671e-04,0.000e+00,0.000e+00,0.000e+00,1.10
